name,brand,company,vintage,drink_type,wine_type,varietal_label,alcohol,bottle_size,case_production,country,state,appellation,designation,retail,rating,reviewer,review,date_of_review,date_received,pub_date_web,slug
Hartford Court 2017 Pinot Noir (Marin County),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1360,750 ml,250,USA,California,Marin County,,70,92,V.B.,"Wild in forest floor, with a velvety texture, this coastal wine shows elegant layers of plum, wild strawberry and black tea. Additional savory components of clove and cardamom contribute sizzle to its exotic, ethereal nature.",2020-05-26,2020-06-01,2020-10-01,hartford-court-2017-pinot-noir-marin-county
Hartford Court 2017 Sevens Bench Vineyard Pinot Noir (Carneros),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1460,750 ml,0,USA,California,Carneros,Sevens Bench Vineyard,70,93,V.B.,"A spicy nose leads the way to the appellation's earthy funk and a length of cherry vanilla that balances it well. Powerful and weighty, the wine is juicy in orange and tangerine on the midpalate, with firm, supple tannin support and hearty oak.",2020-05-01,2020-05-06,2020-09-01,hartford-court-2017-sevens-bench-vineyard-pinot-noir-carneros
Hartford Court 2017 Arrendell Vineyard Pinot Noir (Russian River Valley),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1440,750 ml,217,USA,California,Russian River Valley,Arrendell Vineyard,110,94,V.B.,"From a stellar site planted in 1975 to a heritage clone, this wine is aged in French oak for 16 months. Plum, strawberry and blood orange flavors contribute a palate of balanced richness that is both complex and wide in appeal.",2020-04-28,2020-05-03,2020-09-01,hartford-court-2017-arrendell-vineyard-pinot-noir-russian-river-valley
Hartford Court 2017 Land's Edge Vineyards Pinot Noir (Sonoma Coast),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1490,750 ml,0,USA,California,Sonoma Coast,Land's Edge Vineyards,50,96,V.B.,"Crisp tones of raspberry and strawberry give this coastal-driven red a sense of place and tangy freshness. The acidity is spread evenly throughout on the robust palate, while a forest floor tone and dense tannins add complexity and balanced weight.",2020-04-28,2020-05-03,2020-09-01,hartford-court-2017-lands-edge-vineyards-pinot-noir-sonoma-coast
Hartford Court 2017 Hailey's Block Pinot Noir (Green Valley),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1420,750 ml,120,USA,California,Green Valley,Hailey's Block,70,97,V.B.,"Defined tones of red fruit and tangerine, alongside bright acidity, give this wine undeniable lift and life. It is sourced from a cool-climate block within the Arrendell Vineyard. Herbal in thyme and celery seed, it delights the midpalate with length and energy, expanding on the earthy theme with lasting freshness and specks of white pepper and cardamom.",2020-04-28,2020-05-03,2020-09-01,hartford-court-2017-haileys-block-pinot-noir-green-valley
Hartford Court 2017 MacLean's Block Pinot Noir (Russian River Valley),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1520,750 ml,0,USA,California,Russian River Valley,MacLean's Block,70,93,V.B.,"Juicy, smooth and velvety, this block selection is full bodied, fleshy and lushly opulent, with soft integrated tannin. The ripeness pushes and offers a warmth of rich cherry cola, baked plum and earthy cinnamon.",2020-04-28,2020-05-03,2020-09-01,hartford-court-2017-macleans-block-pinot-noir-russian-river-valley
Hartford Court 2017 Seascape Vineyard Pinot Noir (Sonoma Coast),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1410,750 ml,313,USA,California,Sonoma Coast,Seascape Vineyard,70,96,V.B.,"From a panoramic estate site above Occidental in view of the Pacific Ocean, this wine is peaty and feral, with plenty of fruitiness to spare. Beautifully layered and crisp in orange peel and plum, it is aged in 100% French oak, 37% of it new, allowing for structure and grace with lasting teases of clove, pepper and briny sea.",2020-04-28,2020-05-03,2020-09-01,hartford-court-2017-seascape-vineyard-pinot-noir-sonoma-coast
Hartford Court 2017 Fog Dance Vineyard Pinot Noir (Green Valley),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1480,750 ml,317,USA,California,Green Valley,Fog Dance Vineyard,70,93,V.B.,"From a foggy site near Forestville, this is a reductive, brawny wine with plenty of weight and backbone. Earthy and herbal, it offers a density of red and black raspberry, with hints of tangerine, the tannins expansive and velvety smooth.",2020-04-24,2020-05-02,2020-09-01,hartford-court-2017-fog-dance-vineyard-pinot-noir-green-valley
Hartford Court 2017 Far Coast Vineyard Pinot Noir (Sonoma Coast),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1540,750 ml,293,USA,California,Sonoma Coast,Far Coast Vineyard,70,93,V.B.,"Near the outpost of Fort Ross, this is a wild, coastal site, and it provides intense grip and power. Juicy and broad in orange peel, dark cherry and strawberry, it has undeniable earthiness and accents of rock and iron, finishing with a lengthy lushness.",2020-04-24,2020-05-01,2020-09-01,hartford-court-2017-far-coast-vineyard-pinot-noir-sonoma-coast
Hartford Court 2017 Jennifer's Pinot Noir (Russian River Valley),Hartford Court,Hartford Family Wines,2017,wine,Red,Pinot Noir,0.1420,750 ml,298,USA,California,Russian River Valley,Jennifer's,70,96,V.B.,"This rockstar wine is from a cold site south of Sebastopol fed by the Petaluma Gap. Peaty and piquant in licorice, it is rich and balanced, with elongated tannin. Smooth, velvety texture carries strong flavors of blueberry, black raspberry and a tease of grapefruit.",2020-04-24,2020-05-01,2020-09-01,hartford-court-2017-jennifers-pinot-noir-russian-river-valley
Hanzell 2017 Pinot Noir (Sonoma Valley),Hanzell,Hanzell Vineyards,2017,wine,Red,Pinot Noir,0.1350,750 ml,1160,USA,California,Sonoma Valley,,98,95,V.B.,"Reduced, robust and succulent, this earthy red estate wine is energetic and focused, with delicately structured waves of pomegranate and currant. The savory side of the story is defined in cardamom and clove with bursts of black tea and pepper. This balanced, complex wine deserves more time in bottle; enjoy best from 2027–2032.",2020-03-01,2020-03-09,2020-07-01,hanzell-2017-pinot-noir-sonoma-valley
